MARYLAND ......................................,671,799,858,"1,041","1,259","2,089","2,282","2,406","2,379","2,799","16,583"
NORTHWEST AREA ........................,65,67,86,96,131,214,183,211,189,234,"1,476"
GARRETT .....................................,2,0,6,2,5,1,8,3,9,8,44
ALLEGANY ....................................,12,14,15,12,22,59,38,39,28,52,291
WASHINGTON ..............................,21,27,28,40,64,66,59,91,88,110,594
FREDERICK ..................................,30,26,37,42,40,88,78,78,64,64,547
BALTIMORE METRO AREA ............,420,519,557,678,841,"1,402","1,549","1,731","1,652","1,860","11,209"
BALTIMORE CITY .........................,167,225,246,305,393,694,761,888,914,"1,028","5,621"
BALTIMORE COUNTY ..................,107,119,144,170,220,336,367,388,350,394,"2,595"
ANNE ARUNDEL ..........................,79,83,78,101,112,195,214,241,208,251,"1,562"
CARROLL ......................................,8,29,24,38,40,47,55,72,56,46,415
HOWARD ......................................,21,24,29,21,26,46,51,41,37,57,353
HARFORD .....................................,38,39,36,43,50,84,101,101,87,84,663
NATIONAL CAPITAL AREA .............,86,104,111,128,140,231,283,216,251,342,"1,892"
MONTGOMERY ............................,44,48,52,65,70,102,116,89,105,139,830
PRINCE GEORGE’S .....................,42,56,59,63,70,129,167,127,146,203,"1,062"
SOUTHERN AREA ...........................,31,37,25,47,59,88,103,86,95,111,682
CALVERT ......................................,12,12,6,17,20,28,32,28,31,25,211
CHARLES ......................................,11,13,9,21,22,45,37,27,31,53,269
ST MARY’S ...................................,8,12,10,9,17,15,34,31,33,33,202
EASTERN SHORE AREA ................,69,72,79,92,88,154,164,162,192,252,"1,324"
CECIL ............................................,28,25,26,29,32,30,59,59,62,92,442
KENT .............................................,2,0,4,6,3,6,5,2,10,6,44
QUEEN ANNE’S ............................,5,2,8,10,4,8,8,17,13,14,89
CAROLINE ....................................,11,4,2,7,3,10,11,7,12,17,84
TALBOT .........................................,1,5,7,4,5,10,11,10,14,17,84
DORCHESTER .............................,2,5,5,0,1,6,12,7,11,17,66
WICOMICO ...................................,11,21,17,20,18,48,35,36,41,47,294
SOMERSET ..................................,3,3,4,3,6,8,4,8,10,16,65
WORCESTER ...............................,6,7,6,13,16,28,19,16,19,26,156
ARYLAND ......................................,529,648,729,888,"1,089","1,856","2,009","2,143","2,106","2,518","14,515"
ORTHWEST AREA ........................,53,53,74,81,118,198,157,189,168,219,"1,310"
GARRETT .....................................,1,0,4,2,4,0,4,3,6,5,29
ALLEGANY ....................................,8,10,11,11,20,55,36,33,23,48,255
WASHINGTON ..............................,16,20,26,34,57,63,51,83,80,105,535
FREDERICK ..................................,28,23,33,34,37,80,66,70,59,61,491
ALTIMORE METRO AREA ............,341,437,485,591,742,"1,262","1,404","1,578","1,508","1,715","10,063"
BALTIMORE CITY .........................,142,189,212,275,354,628,692,814,851,964,"5,121"
BALTIMORE COUNTY ..................,93,104,125,146,195,305,323,352,316,356,"2,315"
ANNE ARUNDEL ..........................,53,68,67,85,89,169,198,218,183,226,"1,356"
CARROLL ......................................,7,27,21,29,34,44,51,68,51,43,375
HOWARD ......................................,18,17,26,18,25,40,47,36,34,52,313
HARFORD .....................................,28,32,34,38,45,76,93,90,73,74,583
ATIONAL CAPITAL AREA .............,52,66,78,101,104,190,215,158,188,268,"1,420"
MONTGOMERY ............................,28,36,40,53,59,84,91,64,86,109,650
PRINCE GEORGE’S .....................,24,30,38,48,45,106,124,94,102,159,770
OUTHERN AREA ...........................,26,32,24,40,48,74,94,71,82,93,584
CALVERT ......................................,10,11,5,16,19,25,27,25,25,19,182
CHARLES ......................................,10,12,9,16,17,36,34,19,26,42,221
ST MARY’S ...................................,6,9,10,8,12,13,33,27,31,32,181
ASTERN SHORE AREA ................,57,60,68,75,77,132,139,147,160,223,"1,138"
CECIL ............................................,24,22,22,25,26,28,57,58,53,85,400
KENT .............................................,1,0,4,3,3,4,4,2,10,6,37
QUEEN ANNE’S ............................,4,2,7,9,4,6,6,16,11,13,78
CAROLINE ....................................,8,4,2,7,3,9,8,7,11,15,74
TALBOT .........................................,1,3,6,4,5,10,8,10,13,13,73
DORCHESTER .............................,2,5,5,0,1,5,10,6,10,15,59
WICOMICO ...................................,10,17,14,15,17,44,28,30,29,39,243
SOMERSET ..................................,3,2,4,2,4,6,3,8,9,13,54
WORCESTER ...............................,4,5,4,10,14,20,15,10,14,24,120
MARYLAND ......................................,247,392,464,578,748,"1,212","1,078",830,726,548,"6,823"
NORTHWEST AREA ........................,23,27,40,53,80,119,72,68,58,44,584
GARRETT .....................................,1,0,2,1,3,0,1,1,1,1,11
ALLEGANY ....................................,3,6,3,5,13,34,14,15,9,14,116
WASHINGTON ..............................,8,11,14,21,38,39,22,29,25,20,227
FREDERICK ..................................,11,10,21,26,26,46,35,23,23,9,230
BALTIMORE METRO AREA ............,165,272,319,379,519,858,772,572,505,364,"4,725"
BALTIMORE CITY .........................,76,131,150,192,260,454,380,286,279,205,"2,413"
BALTIMORE COUNTY ..................,38,64,76,86,134,208,170,119,111,74,"1,080"
ANNE ARUNDEL ..........................,24,38,41,53,60,105,118,75,63,45,622
CARROLL ......................................,2,13,14,16,22,25,28,34,18,13,185
HOWARD ......................................,10,12,16,9,16,24,23,15,10,15,150
HARFORD .....................................,15,14,22,23,27,42,53,43,24,12,275
NATIONAL CAPITAL AREA .............,23,42,53,65,69,115,104,78,81,76,706
MONTGOMERY ............................,11,22,28,33,37,48,52,34,39,32,336
PRINCE GEORGE’S .....................,12,20,25,32,32,67,52,44,42,44,370
SOUTHERN AREA ...........................,15,18,13,28,29,48,45,31,30,24,281
CALVERT ......................................,5,6,2,13,15,17,17,8,10,3,96
CHARLES ......................................,6,5,5,10,8,22,16,11,12,15,110
ST MARY’S ...................................,4,7,6,5,6,9,12,12,8,6,75
EASTERN SHORE AREA ................,21,33,39,53,51,72,85,81,52,40,527
CECIL ............................................,8,11,11,15,16,19,37,40,16,12,185
KENT .............................................,1,0,0,2,1,1,1,0,3,2,11
QUEEN ANNE’S ............................,2,2,5,7,1,4,5,8,3,4,41
CAROLINE ....................................,3,3,2,6,2,6,4,3,5,4,38
TALBOT .........................................,1,2,2,4,3,4,3,4,4,1,28
DORCHESTER .............................,1,3,3,0,1,3,4,3,5,2,25
WICOMICO ...................................,3,9,11,12,13,21,20,12,9,8,118
SOMERSET ..................................,1,2,1,1,3,3,2,5,1,1,20
WORCESTER ...............................,1,1,4,6,11,11,9,6,6,6,61
MARYLAND ......................................,342,311,316,330,351,418,413,379,369,453,"3,682"
NORTHWEST AREA ........................,38,30,35,33,39,56,35,34,33,38,371
GARRETT .....................................,1,0,2,2,1,0,1,1,1,1,10
ALLEGANY ....................................,5,5,8,6,6,15,9,5,5,8,72
WASHINGTON ..............................,11,9,11,16,20,23,8,19,17,18,152
FREDERICK ..................................,21,16,14,9,12,18,17,9,10,11,137
BALTIMORE METRO AREA ............,212,196,207,217,233,265,298,272,258,325,"2,483"
BALTIMORE CITY .........................,82,74,86,84,105,113,123,128,134,168,"1,097"
BALTIMORE COUNTY ..................,68,47,54,59,62,67,87,71,60,71,646
ANNE ARUNDEL ..........................,33,33,28,32,27,48,43,36,27,40,347
CARROLL ......................................,5,17,12,15,14,15,13,16,13,16,136
HOWARD ......................................,9,5,13,7,9,6,13,2,9,11,84
HARFORD .....................................,15,20,14,20,16,16,19,19,15,19,173
NATIONAL CAPITAL AREA .............,35,29,30,35,36,42,33,27,28,37,332
MONTGOMERY ............................,20,18,16,19,23,26,19,16,15,16,188
PRINCE GEORGE’S .....................,15,11,14,16,13,16,14,11,13,21,144
SOUTHERN AREA ...........................,15,18,12,19,19,25,26,22,23,24,203
CALVERT ......................................,7,6,3,7,6,11,5,6,5,5,61
CHARLES ......................................,5,7,5,9,8,10,11,8,7,8,78
ST MARY’S ...................................,3,5,4,3,5,4,10,8,11,11,64
EASTERN SHORE AREA ................,42,38,32,26,24,30,21,24,27,29,293
CECIL ............................................,20,18,12,12,10,8,8,5,6,10,109
KENT .............................................,1,0,4,2,2,0,2,0,0,0,11
QUEEN ANNE’S ............................,2,0,3,3,3,2,2,4,0,3,22
CAROLINE ....................................,5,1,0,1,0,4,1,1,3,3,19
TALBOT .........................................,0,1,4,0,2,3,4,2,5,2,23
DORCHESTER .............................,1,3,3,0,0,2,2,2,3,0,16
WICOMICO ...................................,7,9,4,3,5,7,0,5,5,7,52
SOMERSET ..................................,3,2,2,1,1,0,1,2,2,1,15
WORCESTER ...............................,3,4,0,4,1,4,1,3,3,3,26
MARYLAND ......................................,118,99,86,120,104,157,122,103,124,108,"1,141"
NORTHWEST AREA ........................,11,13,12,10,11,25,16,13,18,15,144
GARRETT .....................................,0,0,1,0,0,0,0,0,1,1,3
ALLEGANY ....................................,0,2,3,3,2,7,3,2,2,5,29
WASHINGTON ..............................,5,2,5,5,6,11,2,7,9,2,54
FREDERICK ..................................,6,9,3,2,3,7,11,4,6,7,58
BALTIMORE METRO AREA ............,63,51,44,69,56,77,73,67,64,59,623
BALTIMORE CITY .........................,15,15,11,20,18,22,23,21,22,21,188
BALTIMORE COUNTY ..................,22,12,14,22,16,22,21,20,18,14,181
ANNE ARUNDEL ..........................,14,11,9,10,12,23,15,15,11,14,134
CARROLL ......................................,3,6,3,4,3,3,4,7,4,5,42
HOWARD ......................................,2,2,4,4,4,2,5,0,3,3,29
HARFORD .....................................,7,5,3,9,3,5,5,4,6,2,49
NATIONAL CAPITAL AREA .............,14,11,13,17,16,25,13,7,15,14,145
MONTGOMERY ............................,9,8,7,11,8,16,8,4,6,7,84
PRINCE GEORGE’S .....................,5,3,6,6,8,9,5,3,9,7,61
SOUTHERN AREA ...........................,10,10,6,11,13,13,14,10,16,13,116
CALVERT ......................................,4,5,3,3,3,7,3,1,4,4,37
CHARLES ......................................,4,3,1,5,8,4,7,5,4,3,44
ST MARY’S ...................................,2,2,2,3,2,2,4,4,8,6,35
EASTERN SHORE AREA ................,20,14,11,13,8,17,6,6,11,7,113
CECIL ............................................,9,4,6,6,3,2,2,0,2,2,36
KENT .............................................,0,0,1,0,1,0,0,0,0,0,2
QUEEN ANNE’S ............................,1,0,1,1,2,1,0,1,0,1,8
CAROLINE ....................................,0,0,0,0,0,3,0,1,2,2,8
TALBOT .........................................,0,1,1,0,0,2,2,0,2,0,8
DORCHESTER .............................,1,1,0,0,0,2,1,1,1,0,7
WICOMICO ...................................,5,5,1,2,1,5,0,2,3,0,24
SOMERSET ..................................,2,1,1,1,0,0,0,1,1,1,8
WORCESTER ...............................,2,2,0,3,1,2,1,0,0,1,12
MARYLAND ......................................,172,170,138,152,183,197,246,196,201,279,"1,934"
NORTHWEST AREA ........................,14,14,8,20,14,12,11,14,10,17,134
GARRETT .....................................,0,0,1,1,0,0,0,0,0,0,2
ALLEGANY ....................................,4,1,1,3,2,4,3,2,2,1,23
WASHINGTON ..............................,5,4,3,10,6,5,4,10,6,14,67
FREDERICK ..................................,5,9,3,6,6,3,4,2,2,2,42
BALTIMORE METRO AREA ............,128,122,110,112,145,158,198,155,166,226,"1,520"
BALTIMORE CITY .........................,65,54,57,54,78,82,87,85,98,131,791
BALTIMORE COUNTY ..................,32,28,29,31,34,36,63,37,36,46,372
ANNE ARUNDEL ..........................,17,15,6,14,9,21,23,12,12,21,150
CARROLL ......................................,2,12,7,5,9,9,6,6,8,9,73
HOWARD ......................................,5,1,5,2,5,2,8,1,6,3,38
HARFORD .....................................,7,12,6,6,10,8,11,14,6,16,96
NATIONAL CAPITAL AREA .............,13,13,7,6,9,13,14,7,6,13,101
MONTGOMERY ............................,6,7,3,5,6,7,6,4,4,5,53
PRINCE GEORGE’S .....................,7,6,4,1,3,6,8,3,2,8,48
SOUTHERN AREA ...........................,3,5,2,7,6,6,9,7,6,11,62
CALVERT ......................................,2,2,0,2,3,2,3,4,0,1,19
CHARLES ......................................,0,1,1,4,2,2,3,2,2,4,21
ST MARY’S ...................................,1,2,1,1,1,2,3,1,4,6,22
EASTERN SHORE AREA ................,14,16,11,7,9,8,14,13,13,12,117
CECIL ............................................,9,10,4,4,3,3,4,5,4,6,52
KENT .............................................,1,0,2,1,1,0,2,0,0,0,7
QUEEN ANNE’S ............................,1,0,1,0,1,1,2,3,0,0,9
CAROLINE ....................................,1,1,0,1,0,2,1,0,1,0,7
TALBOT .........................................,0,1,2,0,1,1,2,1,2,1,11
DORCHESTER .............................,0,1,0,0,0,0,2,1,2,0,6
WICOMICO ...................................,1,1,2,0,2,0,0,1,2,3,12
SOMERSET ..................................,1,0,0,0,1,0,1,0,1,0,4
WORCESTER ...............................,0,2,0,1,0,1,0,2,1,2,9
MARYLAND ......................................,26,29,58,186,340,"1,119","1,594","1,888","1,927","2,342","9,509"
NORTHWEST AREA ........................,6,3,7,8,32,109,119,166,146,200,796
GARRETT .....................................,1,0,0,0,2,0,2,2,5,5,17
ALLEGANY ....................................,1,1,1,1,5,29,29,29,19,44,159
WASHINGTON ..............................,1,1,4,1,14,31,39,70,70,95,326
FREDERICK ..................................,3,1,2,6,11,49,49,65,52,56,294
BALTIMORE METRO AREA ............,10,16,35,142,248,792,"1,118","1,415","1,395","1,605","6,776"
BALTIMORE CITY .........................,2,4,12,72,120,419,573,758,810,920,"3,690"
BALTIMORE COUNTY ..................,4,5,11,36,65,182,244,308,285,328,"1,468"
ANNE ARUNDEL ..........................,2,3,6,23,29,98,152,184,164,209,870
CARROLL ......................................,0,1,2,4,11,20,40,55,47,37,217
HOWARD ......................................,0,2,3,5,7,27,36,34,28,44,186
HARFORD .....................................,2,1,1,2,16,46,73,76,61,67,345
NATIONAL CAPITAL AREA .............,0,3,6,15,32,101,175,115,167,251,865
MONTGOMERY ............................,0,2,0,8,17,43,72,40,76,102,360
PRINCE GEORGE’S .....................,0,1,6,7,15,58,103,75,91,149,505
SOUTHERN AREA ...........................,3,1,4,9,9,32,74,60,74,79,345
CALVERT ......................................,1,0,0,5,2,11,22,23,23,16,103
CHARLES ......................................,1,1,3,1,4,17,26,14,24,37,128
ST MARY’S ...................................,1,0,1,3,3,4,26,23,27,26,114
EASTERN SHORE AREA ................,7,6,6,12,19,85,108,132,145,207,727
CECIL ............................................,2,0,0,1,7,9,44,52,49,81,245
KENT .............................................,0,0,0,1,0,3,3,2,10,6,25
QUEEN ANNE’S ............................,0,0,1,1,0,4,5,16,10,12,49
CAROLINE ....................................,4,0,0,0,1,3,7,6,9,14,44
TALBOT .........................................,0,1,0,2,2,7,3,10,11,11,47
DORCHESTER .............................,0,0,2,0,1,3,7,4,9,15,41
WICOMICO ...................................,1,4,1,7,1,34,24,24,26,34,156
SOMERSET ..................................,0,0,2,0,1,6,3,8,9,12,41
WORCESTER ...............................,0,1,0,0,6,16,12,10,12,22,79
MARYLAND ......................................,148,153,154,198,221,464,691,891,869,921,"4,710"
NORTHWEST AREA ........................,10,9,13,16,20,27,43,67,51,65,321
GARRETT .....................................,0,0,0,0,1,0,1,0,3,1,6
ALLEGANY ....................................,0,2,2,2,5,9,13,12,6,10,61
WASHINGTON ..............................,3,5,6,6,10,9,10,31,24,31,135
FREDERICK ..................................,7,2,5,8,4,9,19,24,18,23,119
BALTIMORE METRO AREA ............,97,108,102,138,167,348,522,693,647,666,"3,488"
BALTIMORE CITY .........................,48,59,47,82,93,202,285,388,380,393,"1,977"
BALTIMORE COUNTY ..................,19,17,27,28,38,80,123,132,138,135,737
ANNE ARUNDEL ..........................,18,13,12,19,19,31,66,91,72,89,430
CARROLL ......................................,3,7,7,2,6,8,14,23,24,8,102
HOWARD ......................................,5,7,5,3,6,7,16,19,9,16,93
HARFORD .....................................,4,5,4,4,5,20,18,40,24,25,149
NATIONAL CAPITAL AREA .............,24,22,25,29,16,44,62,49,74,86,431
MONTGOMERY ............................,12,12,13,10,5,11,17,18,29,26,153
PRINCE GEORGE’S .....................,12,10,12,19,11,33,45,31,45,60,278
SOUTHERN AREA ...........................,3,6,1,3,6,8,19,33,39,33,151
CALVERT ......................................,2,3,0,2,0,2,3,3,9,8,32
CHARLES ......................................,1,1,0,0,2,4,10,13,12,16,59
ST MARY’S ...................................,0,2,1,1,4,2,6,17,18,9,60
EASTERN SHORE AREA ................,14,8,13,12,12,37,45,49,58,71,319
CECIL ............................................,7,2,5,4,3,3,15,14,12,13,78
KENT .............................................,0,0,0,1,1,0,1,1,4,2,10
QUEEN ANNE’S ............................,1,0,0,0,0,1,2,5,6,4,19
CAROLINE ....................................,1,1,0,1,0,5,2,1,2,2,15
TALBOT .........................................,0,0,3,0,1,2,2,3,6,5,22
DORCHESTER .............................,1,1,1,0,0,1,7,2,5,6,24
WICOMICO ...................................,3,4,3,4,7,13,7,13,21,21,96
SOMERSET ..................................,0,0,0,0,0,4,2,6,2,7,21
WORCESTER ...............................,1,0,1,2,0,8,7,4,0,11,34
MARYLAND ......................................,68,73,69,103,91,126,146,127,107,114,"1,024"
NORTHWEST AREA ........................,9,5,6,13,8,21,19,10,9,15,115
GARRETT .....................................,0,0,1,0,1,0,2,0,1,2,7
ALLEGANY ....................................,1,0,1,3,1,6,5,1,1,3,22
WASHINGTON ..............................,4,3,2,5,3,6,2,4,2,4,35
FREDERICK ..................................,4,2,2,5,3,9,10,5,5,6,51
BALTIMORE METRO AREA ............,39,49,44,66,56,78,98,90,64,69,653
BALTIMORE CITY .........................,9,15,14,22,15,24,28,28,27,26,208
BALTIMORE COUNTY ..................,9,12,16,24,18,29,25,32,17,21,203
ANNE ARUNDEL ..........................,14,11,3,9,11,9,27,16,11,10,121
CARROLL ......................................,0,1,3,3,4,1,4,4,3,2,25
HOWARD ......................................,4,2,5,0,6,8,5,1,1,4,36
HARFORD .....................................,3,8,3,8,2,7,9,9,5,6,60
NATIONAL CAPITAL AREA .............,9,6,7,12,8,12,15,15,17,17,118
MONTGOMERY ............................,6,4,4,10,7,7,8,9,10,8,73
PRINCE GEORGE’S .....................,3,2,3,2,1,5,7,6,7,9,45
SOUTHERN AREA ...........................,2,4,4,6,7,7,8,4,7,6,55
CALVERT ......................................,1,1,1,3,1,1,2,2,0,0,12
CHARLES ......................................,0,2,1,2,4,4,4,1,3,3,24
ST MARY’S ...................................,1,1,2,1,2,2,2,1,4,3,19
EASTERN SHORE AREA ................,9,9,8,6,12,8,6,8,10,7,83
CECIL ............................................,6,7,3,3,5,2,1,2,4,2,35
KENT .............................................,0,0,0,0,0,1,2,0,0,0,3
QUEEN ANNE’S ............................,1,0,0,0,1,1,0,3,0,1,7
CAROLINE ....................................,0,0,0,0,0,0,1,0,1,2,4
TALBOT .........................................,0,0,3,0,1,1,1,0,1,0,7
DORCHESTER .............................,0,1,1,0,0,1,0,0,1,0,4
WICOMICO ...................................,1,0,0,1,2,1,0,1,1,2,9
SOMERSET ..................................,0,1,1,0,0,0,0,0,0,0,2
WORCESTER ...............................,1,0,0,2,3,1,1,2,2,0,12
MARYLAND ......................................,10,16,8,15,14,32,28,37,58,75,293
NORTHWEST AREA ........................,0,1,0,1,2,4,1,4,3,5,21
GARRETT .....................................,0,0,0,0,0,0,0,0,0,0,0
ALLEGANY ....................................,0,0,0,0,0,0,0,0,0,0,0
WASHINGTON ..............................,0,0,0,0,1,0,1,0,0,2,4
FREDERICK ..................................,0,1,0,1,1,4,0,4,3,3,17
BALTIMORE METRO AREA ............,4,7,4,3,2,11,8,9,23,19,90
BALTIMORE CITY .........................,1,2,1,1,1,2,2,3,8,5,26
BALTIMORE COUNTY ..................,0,1,1,0,0,2,1,0,2,2,9
ANNE ARUNDEL ..........................,3,2,1,1,1,6,5,5,11,10,45
CARROLL ......................................,0,1,0,0,0,0,0,0,0,0,1
HOWARD ......................................,0,1,1,1,0,1,0,1,2,1,8
HARFORD .....................................,0,0,0,0,0,0,0,0,0,1,1
NATIONAL CAPITAL AREA .............,4,6,3,10,8,13,16,20,25,41,146
MONTGOMERY ............................,2,1,0,1,1,2,2,4,2,10,25
PRINCE GEORGE’S .....................,2,5,3,9,7,11,14,16,23,31,121
SOUTHERN AREA ...........................,1,2,1,1,2,3,2,4,6,8,30
CALVERT ......................................,1,0,0,0,1,0,2,1,2,3,10
CHARLES ......................................,0,2,1,1,0,3,0,3,4,4,18
ST MARY’S ...................................,0,0,0,0,1,0,0,0,0,1,2
EASTERN SHORE AREA ................,1,0,0,0,0,1,1,0,1,2,6
CECIL ............................................,0,0,0,0,0,0,0,0,1,0,1
KENT .............................................,0,0,0,0,0,0,0,0,0,0,0
QUEEN ANNE’S ............................,0,0,0,0,0,0,0,0,0,0,0
CAROLINE ....................................,0,0,0,0,0,0,0,0,0,0,0
TALBOT .........................................,0,0,0,0,0,0,0,0,0,1,1
DORCHESTER .............................,1,0,0,0,0,0,0,0,0,0,1
WICOMICO ...................................,0,0,0,0,0,1,1,0,0,1,3
SOMERSET ..................................,0,0,0,0,0,0,0,0,0,0,0
WORCESTER ...............................,0,0,0,0,0,0,0,0,0,0,0
MARYLAND ......................................,0,2,6,3,10,18,28,32,41,76,216
NORTHWEST AREA ........................,0,1,1,0,1,2,5,6,11,7,34
GARRETT .....................................,0,0,0,0,0,0,2,1,1,3,7
ALLEGANY ....................................,0,0,1,0,0,1,0,2,2,1,7
WASHINGTON ..............................,0,0,0,0,1,1,1,3,7,2,15
FREDERICK ..................................,0,1,0,0,0,0,2,0,1,1,5
BALTIMORE METRO AREA ............,0,1,3,1,4,12,12,13,13,28,87
BALTIMORE CITY .........................,0,1,2,1,1,8,5,5,7,13,43
BALTIMORE COUNTY ..................,0,0,1,0,0,1,1,4,4,7,18
ANNE ARUNDEL ..........................,0,0,0,0,0,0,2,2,2,1,7
CARROLL ......................................,0,0,0,0,1,0,1,1,0,2,5
HOWARD ......................................,0,0,0,0,2,2,1,1,0,1,7
HARFORD .....................................,0,0,0,0,0,1,2,0,0,4,7
NATIONAL CAPITAL AREA .............,0,0,2,0,4,3,4,4,6,9,32
MONTGOMERY ............................,0,0,0,0,0,1,2,1,3,2,9
PRINCE GEORGE’S .....................,0,0,2,0,4,2,2,3,3,7,23
SOUTHERN AREA ...........................,0,0,0,0,1,1,3,1,1,2,9
CALVERT ......................................,0,0,0,0,0,0,1,1,1,0,3
CHARLES ......................................,0,0,0,0,1,1,2,0,0,2,6
ST MARY’S ...................................,0,0,0,0,0,0,0,0,0,0,0
EASTERN SHORE AREA ................,0,0,0,2,0,0,4,8,10,30,54
CECIL ............................................,0,0,0,0,0,0,4,6,8,26,44
KENT .............................................,0,0,0,0,0,0,0,0,1,0,1
QUEEN ANNE’S ............................,0,0,0,0,0,0,0,0,0,1,1
CAROLINE ....................................,0,0,0,1,0,0,0,0,1,1,3
TALBOT .........................................,0,0,0,0,0,0,0,0,0,0,0
DORCHESTER .............................,0,0,0,0,0,0,0,0,0,0,0
WICOMICO ...................................,0,0,0,1,0,0,0,1,0,0,2
SOMERSET ..................................,0,0,0,0,0,0,0,0,0,0,0
WORCESTER ...............................,0,0,0,0,0,0,0,1,0,2,3
MARYLAND ......................................,161,195,239,270,310,582,517,472,423,566,"3,735"
NORTHWEST AREA ........................,16,12,21,27,30,47,31,34,37,37,292
GARRETT .....................................,1,0,2,1,1,1,2,1,2,1,12
ALLEGANY ....................................,2,4,2,3,6,14,4,7,3,7,52
WASHINGTON ..............................,4,3,6,11,10,17,14,15,20,17,117
FREDERICK ..................................,9,5,11,12,13,15,11,11,12,12,111
BALTIMORE METRO AREA ............,99,126,154,166,215,403,334,339,273,343,"2,452"
BALTIMORE CITY .........................,44,71,86,86,114,222,198,187,165,169,"1,342"
BALTIMORE COUNTY ..................,22,24,32,39,52,81,71,80,53,91,545
ANNE ARUNDEL ..........................,21,15,22,18,27,56,37,44,34,49,323
CARROLL ......................................,4,4,4,9,6,12,9,10,6,7,71
HOWARD ......................................,4,6,6,6,5,14,7,5,4,11,68
HARFORD .....................................,4,6,4,8,11,18,12,13,11,16,103
NATIONAL CAPITAL AREA .............,28,38,35,36,32,67,86,51,58,102,533
MONTGOMERY ............................,16,15,13,18,15,22,35,19,19,43,215
PRINCE GEORGE’S .....................,12,23,22,18,17,45,51,32,39,59,318
SOUTHERN AREA ...........................,7,7,7,12,11,22,24,17,18,28,153
CALVERT ......................................,2,2,1,4,3,7,4,9,5,10,47
CHARLES ......................................,3,2,4,5,4,12,9,3,10,14,66
ST MARY’S ...................................,2,3,2,3,4,3,11,5,3,4,40
EASTERN SHORE AREA ................,11,12,22,29,22,43,42,31,37,56,305
CECIL ............................................,3,6,9,5,8,8,12,10,5,16,82
KENT .............................................,0,0,1,1,0,1,1,0,1,2,7
QUEEN ANNE’S ............................,3,0,1,7,0,2,4,3,1,1,22
CAROLINE ....................................,1,0,1,2,0,5,4,1,2,3,19
TALBOT .........................................,0,2,2,0,0,0,5,4,5,6,24
DORCHESTER .............................,0,1,0,0,1,1,2,1,5,5,16
WICOMICO ...................................,2,2,6,7,3,12,9,8,12,8,69
SOMERSET ..................................,1,1,1,2,2,3,1,0,1,4,16
WORCESTER ...............................,1,0,1,5,8,11,4,4,5,11,50
